customer_id,customer_name,place,time_ago,product,times_added,risk_score,risk_level,coupon_code,coupon_percent,final_status,revenue
C0026,Rohan Kumar,Mumbai,30min ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,4250
C0027,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2800
C0028,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0029,Riya Singh VIP,Ghaziabad VIP,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,ABANDONED,0
C0030,Riya Singh VIP,Ghaziabad VIP,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,ABANDONED,0
C0031,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0032,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,RECOVERED,1899
C0033,Sneha Roy,Lucknow,2hr ago,Black Festive Set,4,92,HIGH,VIP5,5,RECOVERED,2800
C0034,Priya Sharma,Delhi,23min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2499
C0035,Priya Sharma,Delhi,23min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,4250
C0036,Sneha Roy,Lucknow,2hr ago,Red Kurta,4,92,HIGH,VIP5,5,RECOVERED,1899
C0037,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,2800
C0038,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0039,Sneha Roy,Lucknow,2hr ago,Black Festive Set,4,92,HIGH,VIP5,5,RECOVERED,2800
C0040,Riya Singh VIP,Ghaziabad VIP,2hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,ABANDONED,0
C0041,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,4250
C0042,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,CANCELLED,0
C0043,Rohan Kumar,Mumbai,30min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1899
C0044,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,4,92,HIGH,VIP5,5,ABANDONED,0
C0045,Priya Sharma,Delhi,23min ago,Black Festive Set,4,92,HIGH,VIP5,5,RECOVERED,4250
C0046,Rohan Kumar,Mumbai,30min ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,2800
C0047,Anjali Gupta,Noida,1hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1899
C0048,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2499
C0049,Neha Verma,Jaipur,5hr ago,Black Festive Set,1,18,LOW,FESTIVE15,15,RECOVERED,1999
C0050,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,RECOVERED,2499
C0051,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0052,Rohan Kumar,Mumbai,30min ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0053,Rohan Kumar,Mumbai,30min ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,4250
C0054,Sneha Roy,Lucknow,2hr ago,Red Kurta,4,92,HIGH,VIP5,5,RECOVERED,2499
C0055,Neha Verma,Jaipur,5hr ago,Black Festive Set,4,92,HIGH,VIP5,5,RECOVERED,1899
C0056,Rohan Kumar,Mumbai,30min ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0057,Priya Sharma,Delhi,23min ago,Black Festive Set,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0058,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0059,Anjali Gupta,Noida,1hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1999
C0060,Priya Sharma,Delhi,23min ago,Green Saree,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0061,Priya Sharma,Delhi,23min ago,Blue Kurta Set,4,92,HIGH,VIP5,5,RECOVERED,4250
C0062,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,3200
C0063,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Kurta,4,92,HIGH,VIP5,5,RECOVERED,1899
C0064,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1999
C0065,Neha Verma,Jaipur,5hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1899
C0066,Sneha Roy,Lucknow,2hr ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0067,Neha Verma,Jaipur,5hr ago,Red Kurta,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0068,Anjali Gupta,Noida,1hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0069,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,4,92,HIGH,VIP5,5,RECOVERED,2800
C0070,Sneha Roy,Lucknow,2hr ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,2800
C0071,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0072,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1899
C0073,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0074,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,RECOVERED,4250
C0075,Anjali Gupta,Noida,1hr ago,Red Kurta,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0076,Rohan Kumar,Mumbai,30min ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,2800
C0077,Priya Sharma,Delhi,23min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2800
C0078,Sneha Roy,Lucknow,2hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,3200
C0079,Neha Verma,Jaipur,5hr ago,Red Anarkali Kurti,4,92,HIGH,VIP5,5,RECOVERED,1899
C0080,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1999
C0081,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,4,92,HIGH,VIP5,5,RECOVERED,1899
C0082,Rohan Kumar,Mumbai,30min ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1899
C0083,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,1999
C0084,Priya Sharma,Delhi,23min ago,Red Kurta,1,18,LOW,FESTIVE15,15,RECOVERED,3200
C0085,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1899
C0086,Rohan Kumar,Mumbai,30min ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,1899
C0087,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,RECOVERED,3200
C0088,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0089,Sneha Roy,Lucknow,2hr ago,Green Saree,4,92,HIGH,VIP5,5,RECOVERED,4250
C0090,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,2800
C0091,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,RECOVERED,3200
C0092,Rohan Kumar,Mumbai,30min ago,Red Kurta,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0093,Sneha Roy,Lucknow,2hr ago,Black Festive Set,4,92,HIGH,VIP5,5,RECOVERED,3200
C0094,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Kurta,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0095,Anjali Gupta,Noida,1hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0096,Neha Verma,Jaipur,5hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,4250
C0097,Priya Sharma,Delhi,23min ago,Black Festive Set,4,92,HIGH,VIP5,5,RECOVERED,4250
C0098,Priya Sharma,Delhi,23min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1899
C0099,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,RECOVERED,3200
C0100,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,CANCELLED,0
C0101,Sneha Roy,Lucknow,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,1999
C0102,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0103,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,RECOVERED,2800
C0104,Rohan Kumar,Mumbai,30min ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0105,Sneha Roy,Lucknow,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,1899
C0106,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Kurta,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0107,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0108,Anjali Gupta,Noida,1hr ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,2499
C0109,Priya Sharma,Delhi,23min ago,Red Kurta,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0110,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0111,Riya Singh VIP,Ghaziabad VIP,2hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1899
C0112,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,CANCELLED,0
C0113,Anjali Gupta,Noida,1hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,4250
C0114,Anjali Gupta,Noida,1hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,3200
C0115,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0116,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,4,92,HIGH,VIP5,5,RECOVERED,4250
C0117,Sneha Roy,Lucknow,2hr ago,Black Festive Set,3,88,HIGH,VIP5,5,ABANDONED,0
C0118,Priya Sharma,Delhi,23min ago,Red Kurta,4,92,HIGH,VIP5,5,RECOVERED,3200
C0119,Priya Sharma,Delhi,23min ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1899
C0120,Priya Sharma,Delhi,23min ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0121,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0122,Sneha Roy,Lucknow,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,ABANDONED,0
C0123,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,3200
C0124,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1999
C0125,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,CANCELLED,0
C0126,Neha Verma,Jaipur,5hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0127,Sneha Roy,Lucknow,2hr ago,Green Saree,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0128,Anjali Gupta,Noida,1hr ago,Green Saree,3,88,HIGH,VIP5,5,CANCELLED,0
C0129,Rohan Kumar,Mumbai,30min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2499
C0130,Rohan Kumar,Mumbai,30min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0131,Neha Verma,Jaipur,5hr ago,Red Kurta,3,88,HIGH,VIP5,5,CANCELLED,0
C0132,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,RECOVERED,1899
C0133,Anjali Gupta,Noida,1hr ago,Red Kurta,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0134,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,CANCELLED,0
C0135,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,4,92,HIGH,VIP5,5,RECOVERED,1999
C0136,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,3,88,HIGH,VIP5,5,ABANDONED,0
C0137,Neha Verma,Jaipur,5hr ago,Red Kurta,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0138,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0139,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0140,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0141,Sneha Roy,Lucknow,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,3200
C0142,Neha Verma,Jaipur,5hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,3200
C0143,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,1999
C0144,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,4,92,HIGH,VIP5,5,ABANDONED,0
C0145,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,3200
C0146,Anjali Gupta,Noida,1hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1999
C0147,Sneha Roy,Lucknow,2hr ago,Green Saree,3,88,HIGH,VIP5,5,ABANDONED,0
C0148,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0149,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0150,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0151,Neha Verma,Jaipur,5hr ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0152,Priya Sharma,Delhi,23min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2499
C0153,Priya Sharma,Delhi,23min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1999
C0154,Anjali Gupta,Noida,1hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,1899
C0155,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0156,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,1999
C0157,Sneha Roy,Lucknow,2hr ago,Red Kurta,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0158,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,3200
C0159,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0160,Sneha Roy,Lucknow,2hr ago,Green Saree,4,92,HIGH,VIP5,5,RECOVERED,2800
C0161,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,1999
C0162,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2499
C0163,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,4250
C0164,Sneha Roy,Lucknow,2hr ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0165,Neha Verma,Jaipur,5hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,2499
C0166,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,1999
C0167,Rohan Kumar,Mumbai,30min ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,RECOVERED,2800
C0168,Priya Sharma,Delhi,23min ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,1899
C0169,Riya Singh VIP,Ghaziabad VIP,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0170,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,RECOVERED,1899
C0171,Neha Verma,Jaipur,5hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2800
C0172,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,1999
C0173,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2499
C0174,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0175,Sneha Roy,Lucknow,2hr ago,Green Saree,4,92,HIGH,VIP5,5,RECOVERED,2800
C0176,Anjali Gupta,Noida,1hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0177,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0178,Sneha Roy,Lucknow,2hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,1899
C0179,Neha Verma,Jaipur,5hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,2499
C0180,Priya Sharma,Delhi,23min ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,3200
C0181,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,4,92,HIGH,VIP5,5,RECOVERED,1999
C0182,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,2499
C0183,Anjali Gupta,Noida,1hr ago,Red Kurta,4,92,HIGH,VIP5,5,RECOVERED,2800
C0184,Sneha Roy,Lucknow,2hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,3200
C0185,Priya Sharma,Delhi,23min ago,Red Kurta,2,62,MEDIUM,SAVE12,12,RECOVERED,1899
C0186,Sneha Roy,Lucknow,2hr ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0187,Priya Sharma,Delhi,23min ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0188,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1999
C0189,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Anarkali Kurti,4,92,HIGH,VIP5,5,RECOVERED,2499
C0190,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,RECOVERED,3200
C0191,Sneha Roy,Lucknow,2hr ago,Green Saree,4,92,HIGH,VIP5,5,RECOVERED,1899
C0192,Sneha Roy,Lucknow,2hr ago,Green Saree,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0193,Anjali Gupta,Noida,1hr ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0194,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1899
C0195,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,4250
C0196,Rohan Kumar,Mumbai,30min ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0197,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,1899
C0198,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,2499
C0199,Sneha Roy,Lucknow,2hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1999
C0200,Priya Sharma,Delhi,23min ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0201,Neha Verma,Jaipur,5hr ago,Blue Kurta Set,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0202,Anjali Gupta,Noida,1hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2800
C0203,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,4,92,HIGH,VIP5,5,RECOVERED,2499
C0204,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0205,Sneha Roy,Lucknow,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,1999
C0206,Sneha Roy,Lucknow,2hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,RECOVERED,1899
C0207,Neha Verma,Jaipur,5hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,2499
C0208,Sneha Roy,Lucknow,2hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,3200
C0209,Riya Singh VIP,Ghaziabad VIP,2hr ago,Lehenga Choli Festive,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0210,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,RECOVERED,4250
C0211,Rohan Kumar,Mumbai,30min ago,Red Anarkali Kurti,2,62,MEDIUM,SAVE12,12,ABANDONED,0
C0212,Rohan Kumar,Mumbai,30min ago,Red Kurta,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0213,Sneha Roy,Lucknow,2hr ago,Lehenga Choli Festive,3,88,HIGH,VIP5,5,RECOVERED,1899
C0214,Riya Singh VIP,Ghaziabad VIP,2hr ago,Black Festive Set,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0215,Priya Sharma,Delhi,23min ago,Lehenga Choli Festive,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0216,Neha Verma,Jaipur,5hr ago,Green Saree,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0217,Priya Sharma,Delhi,23min ago,Black Festive Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0218,Anjali Gupta,Noida,1hr ago,Red Anarkali Kurti,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0219,Rohan Kumar,Mumbai,30min ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2499
C0220,Neha Verma,Jaipur,5hr ago,Black Festive Set,4,92,HIGH,VIP5,5,ABANDONED,0
C0221,Neha Verma,Jaipur,5hr ago,Green Saree,2,62,MEDIUM,SAVE12,12,CANCELLED,0
C0222,Rohan Kumar,Mumbai,30min ago,Black Festive Set,1,18,LOW,FESTIVE15,15,ABANDONED,0
C0223,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,2,62,MEDIUM,SAVE12,12,RECOVERED,3200
C0224,Priya Sharma,Delhi,23min ago,Green Saree,1,18,LOW,FESTIVE15,15,CANCELLED,0
C0225,Riya Singh VIP,Ghaziabad VIP,2hr ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,2800
C0226,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,4,92,HIGH,VIP5,5,RECOVERED,1999
C0227,Rohan Kumar,Mumbai,30min ago,Red Kurta,3,88,HIGH,VIP5,5,RECOVERED,2499
C0228,Riya Singh VIP,Ghaziabad VIP,2hr ago,Green Saree,3,88,HIGH,VIP5,5,RECOVERED,2499
C0229,Anjali Gupta,Noida,1hr ago,Blue Kurta Set,3,88,HIGH,VIP5,5,RECOVERED,1999
C0230,Sneha Roy,Lucknow,2hr ago,Red Anarkali Kurti,3,88,HIGH,VIP5,5,ABANDONED,0
